id,depth,n_node_samples,impurity,value
0,0,13329,0.99999,"[2669,2647,2684,2646,2683]"
1,1,12566,0.997812,"[2055,2531,2667,2630,2683]"
2,2,7566,0.876881,"[1744,307,2628,244,2643]"
3,3,865,0.803856,"[203,56,448,10,148]"
4,4,23,0.297731,"[20,1,1,0,1]"
5,5,19,0.242382,"[17,1,1,0,0]"
6,6,18,0.131173,"[17,0,1,0,0]"
7,7,12,0,"[12,0,0,0,0]"
8,7,6,0.347222,"[5,0,1,0,0]"
9,6,1,0,"[0,1,0,0,0]"
10,5,4,0.46875,"[3,0,0,0,1]"
11,4,842,0.795054,"[183,55,447,10,147]"
12,5,412,0.914303,"[92,50,146,9,115]"
13,6,309,0.917434,"[75,39,95,4,96]"
14,7,128,0.765686,"[20,23,73,3,9]"
15,8,123,0.742448,"[18,20,73,3,9]"
16,9,59,0.782103,"[17,6,31,1,4]"
17,10,29,0.882878,"[6,5,13,1,4]"
18,11,12,0.850694,"[5,4,0,1,2]"
19,12,7,0.714286,"[2,4,0,1,0]"
20,12,5,0.6,"[3,0,0,0,2]"
21,11,17,0.49308,"[1,1,13,0,2]"
22,12,6,0.763889,"[1,0,3,0,2]"
23,12,11,0.206611,"[0,1,10,0,0]"
24,13,1,0,"[0,1,0,0,0]"
25,13,10,0,"[0,0,10,0,0]"
26,10,30,0.630556,"[11,1,18,0,0]"
27,11,9,0.432099,"[2,0,7,0,0]"
28,11,21,0.674603,"[9,1,11,0,0]"
29,12,17,0.570934,"[6,0,11,0,0]"
30,13,10,0.6,"[6,0,4,0,0]"
31,13,7,0,"[0,0,7,0,0]"
32,12,4,0.46875,"[3,1,0,0,0]"
33,9,64,0.6427,"[1,14,42,2,5]"
34,10,12,0.642361,"[1,8,0,1,2]"
35,11,2,0.625,"[0,0,0,1,1]"
36,11,10,0.425,"[1,8,0,0,1]"
37,10,52,0.413277,"[0,6,42,1,3]"
38,11,10,0.625,"[0,5,5,0,0]"
39,11,42,0.272109,"[0,1,37,1,3]"
40,12,19,0.124654,"[0,1,18,0,0]"
41,13,8,0.273438,"[0,1,7,0,0]"
42,13,11,0,"[0,0,11,0,0]"
43,12,23,0.373346,"[0,0,19,1,3]"
44,13,12,0.607639,"[0,0,8,1,3]"
45,14,2,0.625,"[0,0,0,1,1]"
46,14,10,0.4,"[0,0,8,0,2]"
47,13,11,0,"[0,0,11,0,0]"
48,8,5,0.6,"[2,3,0,0,0]"
49,7,181,0.817512,"[55,16,22,1,87]"
50,8,167,0.781222,"[51,10,19,1,86]"
51,9,154,0.764674,"[39,10,19,1,85]"
52,10,103,0.585116,"[24,4,3,1,71]"
53,11,80,0.523438,"[15,3,2,1,59]"
54,12,16,0.810547,"[8,3,1,0,4]"
55,13,5,0,"[5,0,0,0,0]"
56,13,11,0.88843,"[3,3,1,0,4]"
57,14,9,0.895062,"[3,3,1,0,2]"
58,14,2,0,"[0,0,0,0,2]"
59,12,64,0.311279,"[7,0,1,1,55]"
60,13,27,0.0891632,"[1,0,0,0,26]"
61,14,25,0,"[0,0,0,0,25]"
62,14,2,0.625,"[1,0,0,0,1]"
63,13,37,0.447407,"[6,0,1,1,29]"
64,14,34,0.421713,"[6,0,0,1,27]"
65,15,2,0,"[2,0,0,0,0]"
66,15,32,0.339355,"[4,0,0,1,27]"
67,16,16,0.46875,"[4,0,0,0,12]"
